#tileset
tileset2.bmp
32 24
tile0: mur
tile1: mur
tile2: ciel
tile3: ciel
tile4: ciel
tile5: ciel
tile6: ciel
tile7: ciel
tile8: mur
tile9: mur
tile10: mur
tile11: mur
tile12: mur
tile13: mur
tile14: mur
tile15: mur
tile16: ciel
tile17: ciel
tile18: ciel
tile19: ciel
tile20: ciel
tile21: ciel
tile22: ciel
tile23: ciel
tile24: mur
tile25: mur
tile26: mur
tile27: ciel
tile28: ciel
tile29: ciel
tile30: ciel
tile31: mur
tile32: ciel
tile33: ciel
tile34: ciel
tile35: ciel
tile36: ciel
tile37: ciel
tile38: ciel
tile39: ciel
tile40: mur
tile41: mur
tile42: mur
tile43: mur
tile44: ciel
tile45: mur
tile46: mur
tile47: mur
tile48: ciel
tile49: ciel
tile50: ciel
tile51: ciel
tile52: ciel
tile53: ciel
tile54: ciel
tile55: ciel
tile56: mur
tile57: mur
tile58: mur
tile59: ciel
tile60: ciel
tile61: mur
tile62: mur
tile63: mur
tile64: ciel
tile65: ciel
tile66: ciel
tile67: ciel
tile68: ciel
tile69: ciel
tile70: ciel
tile71: ciel
tile72: mur
tile73: mur
tile74: mur
tile75: mur
tile76: mur
tile77: mur
tile78: mur
tile79: mur
tile80: mur
tile81: mur
tile82: mur
tile83: mur
tile84: ciel
tile85: ciel
tile86: ciel
tile87: ciel
tile88: ciel
tile89: ciel
tile90: ciel
tile91: ciel
tile92: ciel
tile93: ciel
tile94: mur
tile95: mur
tile96: ciel
tile97: mur
tile98: mur
tile99: mur
tile100: mur
tile101: mur
tile102: mur
tile103: ciel
tile104: mur
tile105: mur
tile106: mur
tile107: mur
tile108: mur
tile109: ciel
tile110: ciel
tile111: ciel
tile112: mur
tile113: ciel
tile114: ciel
tile115: ciel
tile116: ciel
tile117: ciel
tile118: ciel
tile119: ciel
tile120: ciel
tile121: ciel
tile122: ciel
tile123: ciel
tile124: ciel
tile125: ciel
tile126: mur
tile127: mur
tile128: mur
tile129: mur
tile130: mur
tile131: mur
tile132: ciel
tile133: ciel
tile134: ciel
tile135: ciel
tile136: mur
tile137: mur
tile138: ciel
tile139: ciel
tile140: ciel
tile141: ciel
tile142: ciel
tile143: ciel
tile144: mur
tile145: mur
tile146: mur
tile147: mur
tile148: ciel
tile149: ciel
tile150: ciel
tile151: ciel
tile152: mur
tile153: mur
tile154: ciel
tile155: ciel
tile156: mur
tile157: mur
tile158: mur
tile159: mur
tile160: mur
tile161: mur
tile162: mur
tile163: mur
tile164: mur
tile165: mur
tile166: mur
tile167: mur
tile168: ciel
tile169: ciel
tile170: ciel
tile171: mur
tile172: ciel
tile173: mur
tile174: mur
tile175: mur
tile176: mur
tile177: mur
tile178: mur
tile179: mur
tile180: mur
tile181: mur
tile182: mur
tile183: mur
tile184: mur
tile185: mur
tile186: mur
tile187: ciel
tile188: ciel
tile189: ciel
tile190: ciel
tile191: ciel
tile192: ciel
tile193: mur
tile194: mur
tile195: mur
tile196: mur
tile197: mur
tile198: mur
tile199: mur
tile200: mur
tile201: mur
tile202: mur
tile203: ciel
tile204: ciel
tile205: ciel
tile206: ciel
tile207: ciel
tile208: mur
tile209: mur
tile210: mur
tile211: mur
tile212: mur
tile213: mur
tile214: mur
tile215: mur
tile216: mur
tile217: mur
tile218: mur
tile219: ciel
tile220: ciel
tile221: ciel
tile222: ciel
tile223: ciel
tile224: ciel
tile225: ciel
tile226: ciel
tile227: ciel
tile228: ciel
tile229: ciel
tile230: ciel
tile231: ciel
tile232: mur
tile233: mur
tile234: mur
tile235: ciel
tile236: ciel
tile237: ciel
tile238: ciel
tile239: mur
tile240: mur
tile241: mur
tile242: mur
tile243: mur
tile244: mur
tile245: mur
tile246: ciel
tile247: ciel
tile248: ciel
tile249: ciel
tile250: mur
tile251: mur
tile252: ciel
tile253: ciel
tile254: ciel
tile255: ciel
tile256: mur
tile257: ciel
tile258: mur
tile259: ciel
tile260: ciel
tile261: ciel
tile262: ciel
tile263: ciel
tile264: mur
tile265: ciel
tile266: ciel
tile267: ciel
tile268: ciel
tile269: ciel
tile270: ciel
tile271: ciel
tile272: ciel
tile273: mur
tile274: ciel
tile275: ciel
tile276: ciel
tile277: ciel
tile278: ciel
tile279: ciel
tile280: ciel
tile281: ciel
tile282: ciel
tile283: ciel
tile284: ciel
tile285: ciel
tile286: mur
tile287: mur
tile288: ciel
tile289: ciel
tile290: ciel
tile291: ciel
tile292: ciel
tile293: ciel
tile294: ciel
tile295: ciel
tile296: mur
tile297: mur
tile298: mur
tile299: mur
tile300: ciel
tile301: ciel
tile302: ciel
tile303: ciel
tile304: ciel
tile305: ciel
